id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
2171,32,JAWA BARAT,3205,KABUPATEN GARUT,3205080,CIBALONG,32.05.29,CIBALONG,SMPN Satu Atap 2 Cibalong,20269732,NEGERI,KP. PETAKAN,2023
2172,32,JAWA BARAT,3205,KABUPATEN GARUT,3205080,CIBALONG,32.05.29,CIBALONG,SMPN Satu Atap 3 Cibalong,20269733,NEGERI,KP. CIPANCAR,2023
2173,32,JAWA BARAT,3205,KABUPATEN GARUT,3205080,CIBALONG,32.05.29,CIBALONG,SMPN Satu Atap 4 Cibalong,69771390,NEGERI,KP. KUBANGSARI,2023
2174,32,JAWA BARAT,3205,KABUPATEN GARUT,3205080,CIBALONG,32.05.29,CIBALONG,SMP IT AL IHSAN CIBALONG,69964211,SWASTA,"JL. RAYA MAROKO KP, GOROWONG",2023
2175,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMPN 1 CIBALONG,20210828,NEGERI,JL RAYA KARANGNUNGGAL NO. 49,2023
2176,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMPN 2 CIBALONG,20210790,NEGERI,JL. PERKEBUNAN WANGUNWATI,2023
2177,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMPN 3 CIBALONG,20253545,NEGERI,JL. RAYA KARANGNUNGGAL,2023
2178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMP ISLAM AL-IKHLAS,69843702,SWASTA,JL. CIPANAS KOMPLEK MASJID BESAR CIBALONG,2023
2179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3205080,CIBALONG,32.05.29,CIBALONG,SMP IT BINA INSAN MULIA CISEMPUR,70033415,SWASTA,KP. TAMANSARI RT 005 RW 001,2023
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,32.01.27,CARINGIN,SMP HAYATAN TOYYIBA,70010039,SWASTA,JL MAYJEN H R EDI SUKMA,2023
