id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1110,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215112,KARAWANG TIMUR,32.15.26,KARAWANG TIMUR,SMAS MUHAMMADIYAH KARAWANG,20237369,SWASTA,"JL. K.H. AHMAD DAHLAN NO. 10-12 KAUM I KEL. KARAWANG KULON, KARAWANG 41311",2023
1111,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAN 1 KARAWANG,20217786,NEGERI,JL. JENDRAL AHMAD YANI NO. 22,2023
1112,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAN 3 KARAWANG,20217764,NEGERI,JL. BANTEN NO. 5 BY PASS KEL. KARANGPAWITAN KEC. KARAWANG BARAT - KARAWANG 41315,2023
1113,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAN 4 KARAWANG,20217765,NEGERI,JL. JEND.AHMAD YANI,2023
1114,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAN 6 KARAWANG,69904548,NEGERI,JL. VETERAN KW.6,2023
1115,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMA ISLAM TELADAN AL IRSYAD AL ISLAMIYYAH,70025263,SWASTA,JL. R. H. JAJA ABDULLAH NO. 02,2023
1116,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMA TUNAS DHARMA,69957259,SWASTA,JL. TARUMANEGARA SAMPING FLY OVER KARAWANG BARAT,2023
1117,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAS BHINNEKA KARAWANG,20237362,SWASTA,JL. KERTABUMI,2023
1118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAS KORPRI KARAWANG,20237366,SWASTA,JL. CIANJUR NO. 13 KARANGPAWITAN,2023
1119,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAS KOSGORO KARAWANG,20265273,SWASTA,JL. TAMPOMAS 2B KARANG INDAH,2023
1120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215113,KARAWANG BARAT,32.15.01,KARAWANG BARAT,SMAS YOS SUDARSO,20265284,SWASTA,JL. BELAKANG PASAR NO. 14,2023
1121,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3215120,RAWAMERTA,32.15.18,RAWAMERTA,SMAN 1 RAWAMERTA,69734347,NEGERI,JL. GARUNGGUNG RAWAMERTA,2023
