id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
19260,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN 2 CIGANTANG,20224318,NEGERI,JL. CIGANTANG,2023
19261,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN 2 CIPARI,20224335,NEGERI,KP. CIKUNIR HILIR,2023
19262,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN 2 LEWO,20224344,NEGERI,LEWO BABAKAN,2023
19263,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN 2 LINGGAJAYA,20224342,NEGERI,JL. CILINGGA,2023
19264,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN 3 CIPARI,20224334,NEGERI,KP. RANCAKUKUN,2023
19265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN BABAKANKADU,20224493,NEGERI,BABAKAN KADU,2023
19266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN CIBANJARAN,20224465,NEGERI,JL. AH NASUTION KM. 8,2023
19267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN CILAMAJANG,20224314,NEGERI,KP CILAMAJANG,2023
19268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN CILINGGA,20224313,NEGERI,KP. CILINGGA,2023
19269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN CIPARAY,20224323,NEGERI,CIPARAY,2023
