id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,27871,ORANG,2019/2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,16866,ORANG,2019/2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,12153,ORANG,2019/2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,8881,ORANG,2019/2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,13381,ORANG,2019/2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,1699,ORANG,2019/2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,16469,ORANG,2019/2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,1673,ORANG,2019/2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,17615,ORANG,2019/2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,4207,ORANG,2019/2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,15388,ORANG,2019/2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,1348,ORANG,2019/2020
